SRA_id,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species
SRR11613706,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11613707,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11613708,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
SRR11668261,116603,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus plorans
SRR11658517,4751,Eukaryota,Fungi,<not present>,<not present>,<not present>,<not present>,<not present>,<not present>
SRR11828840,104341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Postiaceae,Postia,Postia placenta
SRR11828839,104341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Postiaceae,Postia,Postia placenta
SRR11828838,104341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Postiaceae,Postia,Postia placenta
SRR11828835,104341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Postiaceae,Postia,Postia placenta
SRR11828834,104341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Postiaceae,Postia,Postia placenta
SRR11828833,104341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Postiaceae,Postia,Postia placenta
SRR11828832,104341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Postiaceae,Postia,Postia placenta
